,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop
0,##,World,"112,519,908","+253,153","2,492,311","+7,242","88,079,582","+292,910","21,948,015","92,495","14,435",319.7
1,1,USA,"28,870,593","+43,929","514,053 ","+1,460","19,170,487","+56,347","9,186,053","16,542","86,892","1,547"
2,2,India,"11,029,326","+13,463","156,598 ",+100,"10,724,144","+13,661","148,584","8,944","7,942",113
3,3,Brazil,"10,197,531",,"247,276 ",,"9,139,215",,"811,040","8,318","47,756","1,158"
4,4,Russia,"4,189,153","+11,823","84,047 ",+417,"3,739,344","+12,956","365,762","2,300","28,698",576
5,5,UK,"4,134,639","+8,489","121,305 ",+548,"2,606,999","+58,378","1,406,335","2,273","60,700","1,781"
6,6,France,"3,629,891","+20,064","85,044 ",+341,"252,083","+1,551","3,292,764","3,435","55,531","1,301"
7,7,Spain,"3,161,432","+7,461","68,079 ",+443,"2,561,102","+18,749","532,251","3,365","67,600","1,456"
8,8,Italy,"2,832,162","+13,314","96,348 ",+356,"2,347,866","+12,898","387,948","2,146","46,887","1,595"
9,9,Turkey,"2,655,633","+9,107","28,213 ",+75,"2,534,996","+5,546","92,424","1,185","31,271",332
10,10,Germany,"2,405,096","+5,596","69,206 ",+434,"2,207,700","+9,700","128,190","3,057","28,647",824
11,11,Colombia,"2,229,663",,"58,974 ",,"2,124,695",,"45,994","2,509","43,521","1,151"
12,12,Argentina,"2,069,751",,"51,359 ",,"1,872,213",,"146,179","3,550","45,526","1,130"
13,13,Mexico,"2,043,632","+2,252","180,536 ",+429,"1,602,024","+6,704","261,072","4,798","15,744","1,391"
14,14,Poland,"1,648,962","+6,310","42,436 ",+247,"1,389,516","+5,143","217,010","1,347","43,601","1,122"
15,15,Iran,"1,590,605","+8,330","59,663 ",+91,"1,358,541","+7,151","172,401","3,696","18,783",705
16,16,South Africa,"1,505,586",+998,"49,413 ",+263,"1,419,459","+5,893","36,714",546,"25,181",826
17,17,Ukraine,"1,311,844","+4,182","25,309 ",+153,"1,151,777","+4,351","134,758",177,"30,114",581
18,18,Indonesia,"1,298,608","+9,775","35,014 ",+323,"1,104,990","+7,996","158,604",,"4,716",127
19,19,Peru,"1,286,757",,"45,263 ",,"1,188,995",,"52,499","2,083","38,679","1,361"
20,20,Czechia,"1,168,491","+11,233","19,537 ",+84,"1,028,131",+526,"120,823","1,329","108,982","1,822"
21,21,Netherlands,"1,064,598","+3,797","15,343 ",+94,N/A,N/A,N/A,538,"62,042",894
22,22,Canada,"851,314","+1,797","21,747 ",+24,"798,726","+2,096","30,841",556,"22,429",573
23,23,Chile,"805,317","+2,308","20,151 ",+25,"763,904","+3,327","21,262","1,640","41,895","1,048"
24,24,Portugal,"799,106","+1,032","16,086 ",+63,"705,976","+4,567","77,044",597,"78,518","1,581"
25,25,Romania,"784,711","+3,382","20,013 ",+119,"728,252","+2,726","36,446",978,"40,968","1,045"
26,26,Israel,"759,572","+4,574","5,634 ",+38,"712,555","+2,934","41,383",799,"82,584",613
27,27,Belgium,"755,594","+1,121","21,923 ",+20,"51,730",+52,"681,941",329,"65,013","1,886"
28,28,Iraq,"675,982","+4,181","13,311 ",+16,"623,337","+2,592","39,334",370,"16,568",326
29,29,Sweden,"642,099",,"12,713 ",+39,N/A,N/A,N/A,217,"63,324","1,254"
30,30,Pakistan,"573,384","+1,050","12,658 ",+41,"536,243",+752,"24,483","1,616","2,564",57
31,31,Philippines,"564,865","+1,414","12,107 ",+16,"522,941",+72,"29,817",785,"5,111",110
32,32,Switzerland,"551,355","+1,131","9,930 ",+23,"499,532",,"41,893",182,"63,407","1,142"
33,33,Bangladesh,"544,116",+399,"8,374 ",+18,"492,887",+828,"42,855",,"3,283",51
34,34,Morocco,"481,709",+446,"8,574 ",+15,"466,105",+808,"7,030",295,"12,952",231
35,35,Austria,"448,371","+1,727","8,434 ",+37,"423,014","+1,203","16,923",271,"49,601",933
36,36,Serbia,"442,853","+3,257","4,366 ",+15,"400,347",,"38,140",157,"50,818",501
37,37,Japan,"426,456",+859,"7,529 ",+55,"401,809","+1,559","17,118",491,"3,379",60
38,38,Hungary,"407,274","+1,628","14,450 ",+103,"310,848","+2,198","81,976",396,"42,229","1,498"
39,39,Saudi Arabia,"375,668",+335,"6,470 ",+4,"366,735",+323,"2,463",486,"10,684",184
40,40,UAE,"375,535","+3,005","1,145 ",+5,"366,567","+3,515","7,823",,"37,676",115
41,41,Jordan,"372,417","+4,139","4,589 ",+19,"339,214","+1,855","28,614",202,"36,268",447
42,42,Lebanon,"359,337","+2,723","4,446 ",+59,"275,149","+2,949","79,742",918,"52,800",653
